Indirizzo,Comune,Numero,Note,Civico,Cap,Frazione/Località,Insegna,Categorie
Via del Lagorai,Sover,1,"generi misti, bar - ristorante",30,38068,Piscine di Sover,BAZZANELLA RENATA,"['BAR', 'RISTORANTE']"
Corso Ausugum,Borgo Valsugana,2,esercizio commerciale,48,38051,,CONFEZIONI MONTIBELLER S.R.L.,[]
Largo Dordi,Borgo Valsugana,3,"esercizio commerciale, attività artigianale",8,38051,,FOTOGRAFICA TRINTINAGLIA UMBERTO S.N.C.,[]
,Grigno,4,esercizio commerciale,24,38055,Serafini,BAR SERAFINI DI MINATI RENZO,['BAR']
Via S. Francesco,Riva del Garda,6,,35,38066,,SEMBENINI GINO & FIGLI S.R.L.,[]
Via Nazionale,Lavis,7,,29,38015,Nave San Felice,HOTEL RISTORANTE PIZZERIA “ALLA NAVE”,"['RISTORANTE', 'HOTEL', 'PIZZERIA']"
Via Roma,Lavis,8,,33,38015,,OBRELLI GIOIELLERIA DAL 1929 S.R.L.,[]
Via Roma,Lavis,9,,13,38015,,MACELLERIE TROIER S.A.S. DI TROIER DARIO E C.,[]
Piazza Manci,Lavis,10,esercizio commerciale,5,38015,,NARDELLI TIZIANO,[]
Via Matteotti,Lavis,11,,37,38015,,PASTICCERIA SILVANO DI ANDREOLLI SILVANO& C.,[]
Piazza Manci,Lavis,13,esercizio commerciale,1,38015,,LONA S.N.C. DI LONA ROBERTO & C.,[]
Via Matteotti,Lavis,14,,59,38015,,GADOTTI CALZATURE DI GADOTTI MARCO,['CALZATURE']
Piazza Cesare Battisti,Lavis,15,,4,38015,,BAR LEON D’ORO DI DELLAI LORENA,['BAR']
Via Filzi,Lavis,16,,1,38015,,TURCO CALZATURE DI TURCO CORRADO,['CALZATURE']
Via Filzi,Lavis,17,,1,38015,,FARMACIA ROMANI DOTT. ALBERTO ERRIGO & C. S.N.C.,['FARMACIA']
Piazza Giovanni della Croce,Lavis,18,,,38015,Pressano,FAMIGLIA COOPERATIVA MEZZOLOMBARDO E PRESSANO SOC. COOP.,['BAR']
Viale San Francesco,Riva del Garda,19,,22,38066,,CONFEZIONI DANTI DI PELKAN WILMA & C. S.A.S.,[]
Via Pennella,Pergine Valsugana,20,attività artigianale,32,38057,,DELUGAN GUIDO E GINO S.N.C.,[]
Piazza Prati,Cavareno,21,,27,38011,,FRUTTA E VERDURA SPRINGHETTI GILBERTO,[]
Via Moscabio,Cavareno,22,,2,38011,,LARCHER SPORT,['SPORT']
Piazza Prati,Cavareno,23,,21,38011,,BAR GELATERIA EREDI CAVALLAR DOMENICO,['BAR']
