name_it,name_de,latitude,longitude,elevation
Alpe di Succiso,,44.3327854,10.1955113,2016.0
Becco di Filadonna,,45.9636324,11.1934654,2150.0
Bechei di Sopra,,46.6077439,12.0444775,2794.0
Catinaccio d'Antermoia,Kesselkogel,46.4740893,11.6438283,3004.0
Cima Ambrizzola,,46.4791667,12.0980556,2715.0
Cima Bastioni,,46.4851159,12.2678531,2926.0
Cima Brenta,,46.1797021,10.900036,3151.0
Cima Cadin di San Lucano,,46.5776149,12.2882724,2839.0
Cima d'Asta,,46.1766183,11.6052937,2847.0
Cima dei Preti,,46.3423245,12.4210592,2707.0
Cima della Vezzana,,46.2899137,11.8297409,3192.0
Cima Dodici,,45.9976856,11.4680336,2337.0
Cima Mora,,46.240557,12.3431523,1940.0
Cima Palon,,45.7922301,11.1765372,2232.0
Cima Pape,,46.3343734,11.9283766,2503.0
Punta di mezzodì,,45.731185,11.1380772,1858.0
Cima Presanella,Cima Presanella,46.2199321,10.6641189,3556.0
Cima Rolle,Rollspitze,46.9463889,11.5077778,2800.0
Cima Tosa,,46.1565222,10.8711276,3136.0
Cima Undici,Elferkofel,46.6363889,12.3783333,3090.0
Cima Valdritta (Monte Baldo),,45.7263915,10.8438832,2218.0
Cimon del Froppa,,46.5073978,12.3404365,2932.0
Col de Moi,,46.0017095,12.1282696,1358.0
Col Nudo,,46.227435,12.403342,2471.0
Monte Collalto,Hochgall,46.9108333,12.1397222,3436.0
Monte Cornetto,,45.9880488,11.0317717,2178.0
Corno Nero,Schwarzhorn,46.3347755,11.454503,2439.0
Croda dei Toni,Zwölferkofel,46.6191667,12.3597222,3095.0
Croda Rossa d'Ampezzo,Hohe Gaisl,46.6347222,12.1436111,3140.0
Furchetta,Furchetta,46.612156,11.7736588,3025.0
Gartnerkofel Südgipfel,,46.5697773,13.3073187,2154.0
Cima Nera,Hintere Schwärze,46.7734046,10.9146852,3624.0
Jôf di Miezegnot,Malborgether Mittagskofel,46.476688,13.453627,2087.0
Jôf di Montasio,Montasch,46.4357605,13.4339244,2754.0
Canin,,46.360145,13.4390292,2587.0
Monte Capin di ponente,Kapinberg,46.5396812,13.569172,1735.0
La Marzola,,46.0319501,11.1874892,1737.0
La Paganella,,46.1432672,11.0374405,2125.0
Schiara,,46.23,12.1822222,2565.0
Cima Campo,,45.9998035,11.6879398,1512.0
Monte Altissimo di Nago,,45.8100909,10.8888535,2079.0
Monte Amariana,,46.400662,13.0803831,1905.0
Monte Bivera,,46.4413775,12.6419964,2474.0
Monte Brentoni (Cima di mezzo),,46.5125311,12.5658983,2545.0
Monte Cadria,,45.9385884,10.6983253,2250.0
Monte Caplone,,45.8021777,10.641351,1976.0
Monte Cesen,,45.9459356,12.0113763,1570.0
Monte Cevedale,,46.4436507,10.6165899,3769.0
Monte Chiadin (cima ovest),Kadin Kofel,46.5972591,12.738573,2287.0
Cjampon,,46.2945179,13.1811838,1709.0
Monte Cimone,,44.193672,10.7002815,2165.0
Monte Civetta,,46.3801303,12.0533469,3220.0
Monte Cornaget,,46.3119444,12.5844444,2323.0
Monte Cornetto,,46.274263,12.4170623,1793.0
Monte Corno,Trudner Horn,46.2898752,11.3238241,1781.0
Monte Creta Forata,Preitkofel,46.5426414,12.7363557,2462.0
Monte Cristallo,Kristallberg,46.5754463,12.2005443,3221.0
Monte Cuar,,46.2744496,12.9966589,1478.0
Monte Dosaip,,46.2839283,12.6372649,2062.0
Monte Gottero,,44.3632997,9.6784249,1639.0
Monte Grappa,,45.8734305,11.7992028,1776.5
Monte Mezza,,46.0455556,11.5816667,1678.0
Monte Mia,,46.2216914,13.4786332,1237.0
Monte Pala Nord,,46.2486305,12.9307879,1230.0
Monte Palantarins,,46.299773,13.0850073,1049.0
Monte Pavione,,46.1045095,11.8214153,2334.0
Monte Pelmo,,46.4199771,12.1347283,3172.0
Monte Peralba,Hochweißstein,46.6296155,12.7199201,2694.0
Monte Piombada,,46.3475659,12.9582977,1746.0
Monte Pramaggiore,,46.3649347,12.5535699,2478.0
Monte Re,Königsberg,46.4560625,13.5570478,1912.0
Monte Resettum,,46.2397222,12.5772222,2067.0
Monte Rinaldo,,46.5990179,12.6580795,2473.0
Monte Rione,,45.770834,11.2991623,1691.0
Monte Rite,,46.3845351,12.2578732,2183.0
Sasso di Bosconero,,46.3366435,12.2681893,2469.0
Monte Roen,Roen,46.3604329,11.1920696,2116.0
Monte Sernio,,46.4750147,13.1376726,2187.0
Monte Sillara,,44.3671359,10.0633034,1861.0
Monte Tersadia,,46.5080198,13.0819694,1960.0
Monte Tomatico,,45.9813946,11.9051345,1595.0
Monte Totoga,,46.135559,11.7492946,1705.0
Monte Valcalda,,46.3438557,12.8352501,1908.0
Monte Verena,,45.9306598,11.4138837,2015.0
Monte Verzegnis,,46.3631395,12.9056362,1914.0
Monte Zermula,,46.5614684,13.1516626,2143.0
Muttler,,46.900689,10.3787789,3294.0
Cima Cadini,Napfspitze,47.0600986,12.0396158,3144.0
Monte Osternig,Oisternig,46.5659298,13.4995633,2052.0
