ID,NAME,CATEGORY,SUBCATEGORY,LON,LAT,SRID,WKT,INTERNATIONAL_NAME,STREET,WIKIPEDIA,PHONE,CITY,EMAIL,ALTERNATIVE_NAME,OPENING_HOURS,DESCRIPTION,WEBSITE,LAST_UPDATE,OPERATOR,POSTCODE,COUNTRY,FAX,IMAGE,HOUSENUMBER,OTHER_TAGS
node/9194975,Laimburg West - Castel Varco Ovest,AUTOMOTIVE,FUEL,11.2898239,46.3632291,4326,POINT (11.2898239 46.363229100000005),,,,,,,,,,,,,,,,,,"{""name"":""Laimburg West - Castel Varco Ovest"",""name:it"":""Castel Varco Ovest"",""name:de"":""Laimburg West"",""highway"":""services""}"
node/9195374,Trento Centro,AUTOMOTIVE,TOLLGATE,11.109442,46.0772621,4326,POINT (11.109442000000001 46.077262100000006),,,,,,,,,,,,,,,,,,"{""name"":""Trento Centro"",""bus"":""yes"",""barrier"":""toll_booth""}"
node/21101633,Hotel Castelli,TRANSPORT,BUSSTOP,10.7336639,45.6693643,4326,POINT (10.7336639 45.669364300000005),,,,,,,,,,,,,,,,,,"{""name"":""Hotel Castelli"",""bus"":""yes"",""public_transport"":""stop_position""}"
node/26859342,Camping Parco Adamello,ACCOMMODATION,CAMPING,10.7498706,46.1663865,4326,POINT (10.749870600000001 46.1663865),,,,,,,,,,,,,,,,,,"{""name"":""Camping Parco Adamello"",""tourism"":""camp_site""}"
node/26859349,Ai Salici,ACCOMMODATION,CAMPING,10.7241162,45.6575797,4326,POINT (10.724116200000001 45.6575797),,,,,,,,,,,,,,,,,,"{""name"":""Ai Salici"",""tourism"":""camp_site"",""created_by"":""JOSM""}"
node/26859361,Camping Alleghe,ACCOMMODATION,CAMPING,12.0075259,46.3949973,4326,POINT (12.007525900000001 46.3949973),,,,+39 0437723737,,,,,,https://www.allegheresort.it/,,,,,,,,"{""name"":""Camping Alleghe"",""tourism"":""camp_site""}"
node/26859374,Arizona,ACCOMMODATION,CAMPING,10.008056,44.806667,4326,POINT (10.008056 44.806667000000004),,,,,,,,,,,,,,,,,,"{""name"":""Arizona"",""tourism"":""camp_site"",""created_by"":""JOSM""}"
node/26859406,Bergamini,ACCOMMODATION,CAMPING,10.6704549,45.4506261,4326,POINT (10.670454900000001 45.4506261),,,,390457550283,,,,,,https://campingbergamini.it/en/,,Rita,,,,,,"{""name"":""Bergamini"",""tourism"":""camp_site"",""contact:whatsapp"":""+393480718373""}"
node/26859416,Camping Brione,ACCOMMODATION,CAMPING,10.86204,45.8813029,4326,POINT (10.86204 45.8813029),,Via Brione,,+39 0464 520885,,info@campingbrione.com,,,,http://www.campingbrione.com/,,,,,,,32,"{""name"":""Camping Brione"",""tourism"":""camp_site""}"
node/26859452,Cieloverde,ACCOMMODATION,CAMPING,11.004444,44.715278,4326,POINT (11.004444000000001 44.715278000000005),,,,,,,,,,,,,,,,,,"{""name"":""Cieloverde"",""tourism"":""camp_site"",""created_by"":""JOSM""}"
