subj,subjLabel,place,placeLabel,coord,birthyear
http://www.wikidata.org/entity/Q8797,Aemilius Macer,http://www.wikidata.org/entity/Q2028,Verona,Point(10.992777777 45.438611111),
http://www.wikidata.org/entity/Q8833,Gaius Maecenas,http://www.wikidata.org/entity/Q13378,Arezzo,Point(11.878055555 43.463055555),
http://www.wikidata.org/entity/Q5592,Michelangelo,http://www.wikidata.org/entity/Q52069,Caprese Michelangelo,Point(11.985833333 43.640833333),1475
http://www.wikidata.org/entity/Q6197,Horace,http://www.wikidata.org/entity/Q52691,Venosa,Point(15.816666666 40.966666666),-64
http://www.wikidata.org/entity/Q7170,Sallust,http://www.wikidata.org/entity/Q177061,Amiternum,Point(13.305769 42.400776),-85
http://www.wikidata.org/entity/Q7198,Ovid,http://www.wikidata.org/entity/Q50157,Sulmona,Point(13.926198 42.048025),-42
http://www.wikidata.org/entity/Q7728,Grazia Deledda,http://www.wikidata.org/entity/Q13649,Nuoro,Point(9.3280792 40.3200621),1871
http://www.wikidata.org/entity/Q7803,Bronzino,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1503
http://www.wikidata.org/entity/Q8796,Sandra Lombardi,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),1946
http://www.wikidata.org/entity/Q8800,Gaius Maecenas Melissus,http://www.wikidata.org/entity/Q20571,Spoleto,Point(12.733333333 42.733333333),-100
http://www.wikidata.org/entity/Q8820,Lucius Varius Rufus,http://www.wikidata.org/entity/Q42984,Turbigo,Point(8.733333333 45.533333333),-73
http://www.wikidata.org/entity/Q8827,Propertius,http://www.wikidata.org/entity/Q20103,Assisi,Point(12.6175 43.07),-46
http://www.wikidata.org/entity/Q762,Leonardo da Vinci,http://www.wikidata.org/entity/Q154184,Anchiano,Point(10.938133333 43.799166666),1452
http://www.wikidata.org/entity/Q765,Dario Fo,http://www.wikidata.org/entity/Q39790,Sangiano,Point(8.6334 45.8748),1926
http://www.wikidata.org/entity/Q1048,Julius Caesar,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),-99
http://www.wikidata.org/entity/Q1064,Alessandro Manzoni,http://www.wikidata.org/entity/Q490,Milan,Point(9.19 45.466944444),1785
http://www.wikidata.org/entity/Q1067,Dante Alighieri,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1265
http://www.wikidata.org/entity/Q1398,Virgil,http://www.wikidata.org/entity/Q15710617,Borgo Virgilio,Point(10.75 45.05),-69
http://www.wikidata.org/entity/Q1399,Niccolò Machiavelli,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1469
http://www.wikidata.org/entity/Q1401,Petrarch,http://www.wikidata.org/entity/Q13378,Arezzo,Point(11.878055555 43.463055555),1304
http://www.wikidata.org/entity/Q1402,Giovanni Boccaccio,http://www.wikidata.org/entity/Q82646,Certaldo,Point(11.041111111 43.547777777),1313
http://www.wikidata.org/entity/Q1403,Luigi Pirandello,http://www.wikidata.org/entity/Q13678,Agrigento,Point(13.576547222 37.311075),1867
http://www.wikidata.org/entity/Q1541,Cicero,http://www.wikidata.org/entity/Q116440,Arpino,Point(13.61155 41.64705),-106
http://www.wikidata.org/entity/Q2039,Titus Livius,http://www.wikidata.org/entity/Q617,Padua,Point(11.877777777 45.406388888),-58
http://www.wikidata.org/entity/Q2291,Totò,http://www.wikidata.org/entity/Q2634,Naples,Point(14.25 40.833333333),1898
http://www.wikidata.org/entity/Q4622,Francesco Filelfo,http://www.wikidata.org/entity/Q94978,Tolentino,Point(13.2841 43.208611111),1398
http://www.wikidata.org/entity/Q44934,Venantius Fortunatus,http://www.wikidata.org/entity/Q47428,Valdobbiadene,Point(11.916666666 45.9),530
http://www.wikidata.org/entity/Q45105,Oswald von Wolkenstein,http://www.wikidata.org/entity/Q1013962,Schöneck Castle,Point(11.847977 46.820264),1377
http://www.wikidata.org/entity/Q46596,Eugenio De Signoribus,http://www.wikidata.org/entity/Q56055,Cupra Marittima,Point(13.858888888 43.024919444),1947
http://www.wikidata.org/entity/Q47130,Ennius,http://www.wikidata.org/entity/Q3942250,Rudiae,Point(18.14729167 40.33379167),-238
http://www.wikidata.org/entity/Q47154,Lucretius,http://www.wikidata.org/entity/Q43332,Pompeii,Point(14.489722 40.750556),-93
http://www.wikidata.org/entity/Q47160,Plautus,http://www.wikidata.org/entity/Q99956,Sarsina,Point(12.15 43.916666666),-249
http://www.wikidata.org/entity/Q48900,Ludovico Ariosto,http://www.wikidata.org/entity/Q13360,Reggio nell'Emilia,Point(10.633333333 44.7),1474
http://www.wikidata.org/entity/Q53009,Bernardo Bertolucci,http://www.wikidata.org/entity/Q2683,Parma,Point(10.328 44.801472222),1941
http://www.wikidata.org/entity/Q31812,Flavio Sciolè,http://www.wikidata.org/entity/Q51420,"Atri, Abruzzo",Point(13.983333333 42.583333333),1970
http://www.wikidata.org/entity/Q32833,Teofilo Folengo,http://www.wikidata.org/entity/Q6247,Mantua,Point(10.791111111 45.156388888),1491
http://www.wikidata.org/entity/Q36330,Giordano Bruno,http://www.wikidata.org/entity/Q72288,Nola,Point(14.533333333 40.933333333),1548
http://www.wikidata.org/entity/Q39454,Arator,http://www.wikidata.org/entity/Q1256,Liguria,Point(8.766666666 44.45),500
http://www.wikidata.org/entity/Q43440,Giosuè Carducci,http://www.wikidata.org/entity/Q219330,Pietrasanta,Point(10.21827 43.94519),1835
http://www.wikidata.org/entity/Q117197,Marc Monnier,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1827
http://www.wikidata.org/entity/Q120703,Fulvio Caccia,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1942
http://www.wikidata.org/entity/Q122070,Simon Lemnius,http://www.wikidata.org/entity/Q257965,Val Müstair,Point(10.39009 46.60566),1511
http://www.wikidata.org/entity/Q122070,Simon Lemnius,http://www.wikidata.org/entity/Q257965,Val Müstair,Point(10.42 46.6),1511
http://www.wikidata.org/entity/Q255368,Vittoria Colonna,http://www.wikidata.org/entity/Q242926,"Marino, Lazio",Point(12.666666666 41.766666666),1492
http://www.wikidata.org/entity/Q257493,Veronica Franco,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1546
http://www.wikidata.org/entity/Q261554,Pier Angelo Manzolli,http://www.wikidata.org/entity/Q16168,Province of Ferrara,Point(11.632777777 44.845),1500
http://www.wikidata.org/entity/Q263270,Carlo Gozzi,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1720
http://www.wikidata.org/entity/Q266482,Antonio Bonfini,http://www.wikidata.org/entity/Q3415,Ancona,Point(13.516666666 43.616666666),1427
http://www.wikidata.org/entity/Q266482,Antonio Bonfini,http://www.wikidata.org/entity/Q3897778,Patrignone,Point(13.60926 42.98027),1427
http://www.wikidata.org/entity/Q268166,Lorenzo Da Ponte,http://www.wikidata.org/entity/Q2316315,Ceneda,Point(12.293055555 45.976666666),1749
http://www.wikidata.org/entity/Q272797,Antonia Pozzi,http://www.wikidata.org/entity/Q490,Milan,Point(9.19 45.466944444),1913
http://www.wikidata.org/entity/Q273334,Alphonsus Maria de Liguori,http://www.wikidata.org/entity/Q2634,Naples,Point(14.25 40.833333333),1696
http://www.wikidata.org/entity/Q53035,Massimo Troisi,http://www.wikidata.org/entity/Q72497,San Giorgio a Cremano,Point(14.333333333 40.833333333),1953
http://www.wikidata.org/entity/Q55433,Michelangelo Antonioni,http://www.wikidata.org/entity/Q13362,Ferrara,Point(11.619865 44.835297),1912
http://www.wikidata.org/entity/Q459019,Maria Carta,http://www.wikidata.org/entity/Q36198,Siligo,Point(8.727388888 40.57525),1934
http://www.wikidata.org/entity/Q460095,Tonino Guerra,http://www.wikidata.org/entity/Q111954,Santarcangelo di Romagna,Point(12.44657 44.06326),1920
http://www.wikidata.org/entity/Q464193,Elio Bartolini,http://www.wikidata.org/entity/Q47224,Conegliano,Point(12.296944444 45.887222222),1922
http://www.wikidata.org/entity/Q19054,Matteo Bandello,http://www.wikidata.org/entity/Q17338,Castelnuovo Scrivia,Point(8.882222222 44.981388888),1485
http://www.wikidata.org/entity/Q25106,Fabrizio De André,http://www.wikidata.org/entity/Q1449,Genoa,Point(8.933983333 44.407186111),1940
http://www.wikidata.org/entity/Q25120,Pier Paolo Pasolini,http://www.wikidata.org/entity/Q1891,Bologna,Point(11.342777777 44.493888888),1922
http://www.wikidata.org/entity/Q29300,Girolamo Parabosco,http://www.wikidata.org/entity/Q13329,Piacenza,Point(9.7 45.05),1524
http://www.wikidata.org/entity/Q29473,Pietro Metastasio,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),1698
http://www.wikidata.org/entity/Q352272,Andrea Calmo,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1510
http://www.wikidata.org/entity/Q352272,Andrea Calmo,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1511
http://www.wikidata.org/entity/Q352578,Giuseppe Bonaviri,http://www.wikidata.org/entity/Q478457,Mineo,Point(14.691061111 37.266358333),1924
http://www.wikidata.org/entity/Q354085,Mario Biondi,http://www.wikidata.org/entity/Q490,Milan,Point(9.19 45.466944444),1939
http://www.wikidata.org/entity/Q354523,Thomas of Celano,http://www.wikidata.org/entity/Q50079,Celano,Point(13.54775 42.084305555),1190
http://www.wikidata.org/entity/Q354755,Giulio Angioni,http://www.wikidata.org/entity/Q284040,Guasila,Point(9.0446663 39.560177),1939
http://www.wikidata.org/entity/Q354990,Aulus Hirtius,http://www.wikidata.org/entity/Q50197,Ferentino,Point(13.25 41.683333333),-89
http://www.wikidata.org/entity/Q357164,Carlo Sigismondo Capece,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),1652
http://www.wikidata.org/entity/Q359173,Eugenio Miccini,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888),1925
http://www.wikidata.org/entity/Q359421,Salvator Rosa,http://www.wikidata.org/entity/Q2634,Naples,Point(14.25 40.833333333),1615
http://www.wikidata.org/entity/Q340519,Ahimaaz ben Paltiel,http://www.wikidata.org/entity/Q58477,Capua,Point(14.213888888 41.105555555),1017
http://www.wikidata.org/entity/Q343560,Salvadore Cammarano,http://www.wikidata.org/entity/Q2634,Naples,Point(14.25 40.833333333),1801
http://www.wikidata.org/entity/Q345236,Corrado Govoni,http://www.wikidata.org/entity/Q95098,Copparo,Point(11.833333333 44.9),1884
http://www.wikidata.org/entity/Q346250,Ada Negri,http://www.wikidata.org/entity/Q6244,Lodi,Point(9.5 45.316666666),1870
http://www.wikidata.org/entity/Q347804,Adriano Banchieri,http://www.wikidata.org/entity/Q1891,Bologna,Point(11.342777777 44.493888888),1568
http://www.wikidata.org/entity/Q348311,Antonio Tebaldeo,http://www.wikidata.org/entity/Q13362,Ferrara,Point(11.619865 44.835297),1463
http://www.wikidata.org/entity/Q349507,Apostolo Zeno,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1668
http://www.wikidata.org/entity/Q350103,Felice Romani,http://www.wikidata.org/entity/Q1449,Genoa,Point(8.933983333 44.407186111),1788
http://www.wikidata.org/entity/Q350781,Caecilius Statius,http://www.wikidata.org/entity/Q490,Milan,Point(9.19 45.466944444),-229
http://www.wikidata.org/entity/Q351355,Nino Oxilia,http://www.wikidata.org/entity/Q495,Turin,Point(7.7 45.066666666),1889
http://www.wikidata.org/entity/Q351485,Marcantonio Flaminio,http://www.wikidata.org/entity/Q1961631,Q1961631,Point(12.28972222 45.99916667),1498
http://www.wikidata.org/entity/Q123538,Peider Lansel,http://www.wikidata.org/entity/Q13375,Pisa,Point(10.4 43.716666666),1863
http://www.wikidata.org/entity/Q125551,Parmenides,http://www.wikidata.org/entity/Q272968,Velia,Point(15.154444444 40.159444444),-514
http://www.wikidata.org/entity/Q130221,"Frederick II, Holy Roman Emperor",http://www.wikidata.org/entity/Q13144,Iesi,Point(13.24395 43.522788888),1195
http://www.wikidata.org/entity/Q130997,Damasus I,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),305
http://www.wikidata.org/entity/Q133855,Guillaume Apollinaire,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),1880
http://www.wikidata.org/entity/Q137683,Mary de Rachewiltz,http://www.wikidata.org/entity/Q185541,Brixen,Point(11.65 46.716666666),1925
http://www.wikidata.org/entity/Q153670,Primo Levi,http://www.wikidata.org/entity/Q495,Turin,Point(7.7 45.066666666),1919
http://www.wikidata.org/entity/Q274484,Tarquinia Molza,http://www.wikidata.org/entity/Q279,Modena,Point(10.92572 44.64582),1542
http://www.wikidata.org/entity/Q275374,Laura Beatrice Mancini,http://www.wikidata.org/entity/Q2634,Naples,Point(14.25 40.833333333),1821
http://www.wikidata.org/entity/Q275979,Elsa Morante,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),1912
http://www.wikidata.org/entity/Q282063,Sara Copia Sullam,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1588
http://www.wikidata.org/entity/Q282063,Sara Copia Sullam,http://www.wikidata.org/entity/Q641,Venice,Point(12.331944444 45.439722222),1592
http://www.wikidata.org/entity/Q282272,"Thomas III, Marquess of Saluzzo",http://www.wikidata.org/entity/Q20454,Saluzzo,Point(7.490555555 44.645277777),1356
http://www.wikidata.org/entity/Q283387,Alfanus I,http://www.wikidata.org/entity/Q1083,Salerno,Point(14.759722222 40.680555555),1015
http://www.wikidata.org/entity/Q465428,Piero Scaruffi,http://www.wikidata.org/entity/Q18177,Trivero,Point(8.166666666 45.666666666),1955
http://www.wikidata.org/entity/Q465664,Fausto Cercignani,http://www.wikidata.org/entity/Q1897,Cagliari,Point(9.116666666 39.216666666),1941
http://www.wikidata.org/entity/Q466048,Francesca da Rimini,http://www.wikidata.org/entity/Q13364,Ravenna,Point(12.199444444 44.417777777),1259
http://www.wikidata.org/entity/Q466808,Nanni Balestrini,http://www.wikidata.org/entity/Q490,Milan,Point(9.19 45.466944444),1935
http://www.wikidata.org/entity/Q466811,Gaspara Stampa,http://www.wikidata.org/entity/Q617,Padua,Point(11.877777777 45.406388888),1523
